,middle_band,price,upper_band,lower_band
0,,1332.95,,
1,,1347.75,,
2,,1324.8,,
3,,1314.55,,
4,,1289.15,,
5,,1242.15,,
6,,1233.75,,
7,,1224.35,,
8,,1258.85,,
9,,1317.8,,
10,,1307.45,,
11,,1321.55,,
12,,1326.95,,
13,1297.8142857142855,1327.35,1379.5386764673283,1216.0898949612426
14,1299.8357142857142,1361.25,1386.5513630249338,1213.1200655464945
15,1300.9321428571425,1363.1,1390.595569987914,1211.268715726371
16,1301.7785714285712,1336.65,1392.6284621129448,1210.9286807441977
17,1303.8214285714287,1343.15,1397.1605020474528,1210.4823550954045
18,1309.0035714285714,1361.7,1406.7840277445584,1211.2231151125843
19,1318.6249999999998,1376.85,1414.5593345130485,1222.690665486951
20,1327.9964285714284,1364.95,1413.2539521671226,1242.7389049757342
21,1338.5071428571428,1371.5,1402.3026678646934,1274.7116178495921
22,1345.8035714285713,1361.0,1391.0121898085238,1300.594953048619
23,1352.05,1405.25,1404.2208436109377,1299.8791563890622
24,1359.3964285714285,1410.3,1413.4453019573343,1305.3475551855227
25,1364.9892857142856,1399.85,1418.3685697768594,1311.6100016517119
26,1370.8928571428569,1409.6,1424.430993904534,1317.3547203811797
27,1377.2714285714285,1416.65,1429.7300820965645,1324.8127750462925
28,1380.167857142857,1401.8,1433.2895549717075,1327.0461593140064
29,1382.857142857143,1400.75,1436.068721370771,1329.6455643435147
30,1383.8071428571427,1349.95,1433.8453721983608,1333.7689135159246
31,1385.8928571428569,1372.35,1430.8023020487803,1340.9834122369334
32,1386.9357142857139,1376.3,1430.0680407059003,1343.8033878655274
33,1386.6678571428567,1373.1,1430.1154136315145,1343.220300654199
34,1388.2535714285711,1387.15,1429.868499672498,1346.6386431846443
35,1388.828571428571,1379.55,1429.6614336520615,1347.9957092050804
36,1391.510714285714,1398.55,1429.2880411971214,1353.7333873743064
37,1391.0857142857137,1399.3,1428.327283875279,1353.8441446961485
38,1389.7571428571425,1391.7,1425.3359363927652,1354.1783493215198
39,1390.6821428571425,1412.8,1428.0211018295454,1353.3431838847396
40,1391.367857142857,1419.2,1430.5123352315363,1352.2233790541777
41,1393.2999999999997,1443.7,1439.7994458196908,1346.8005541803086
42,1399.3071428571427,1485.9,1467.2991204058867,1331.3151653083987
43,1406.3535714285715,1499.4,1492.9042632383262,1319.8028796188169
44,1419.8214285714287,1538.5,1525.1966169682719,1314.4462401745855
45,1429.8214285714287,1512.35,1542.133868558387,1317.5089885844704
46,1441.6464285714285,1541.85,1564.088254408377,1319.20460273448
47,1457.5214285714285,1595.35,1597.984353952446,1317.0585031904109
48,1474.2499999999998,1621.35,1633.1808412728383,1315.3191587271613
49,1489.810714285714,1597.4,1651.4367983314394,1328.1846302399888
50,1506.1642857142856,1627.5,1674.216834403316,1338.1117370252553
51,1526.7250000000001,1687.15,1708.3440804530603,1345.10591954694
52,1547.2714285714285,1679.35,1728.1711488343644,1366.3717083084925
53,1567.8821428571428,1701.35,1748.5354215096813,1387.2288642046042
54,1588.160714285714,1703.1,1760.4628870412057,1415.8585415302223
55,1607.6285714285711,1716.25,1770.9763632682548,1444.2807795888875
56,1623.4357142857139,1707.2,1778.66916839508,1468.2022601763476
57,1637.8892857142853,1701.75,1780.545646237753,1495.2329251908175
58,1651.0999999999997,1723.45,1788.2571866369135,1513.9428133630859
59,1671.5142857142855,1798.15,1804.7313349152098,1538.2972365133612
60,1688.5107142857141,1779.8,1810.7283145451938,1566.2931140262344
61,1695.8214285714287,1697.7,1805.6506436442662,1585.9922134985911
62,1696.8392857142858,1635.6,1803.9253128037308,1589.7532586248408
63,1703.8392857142858,1695.4,1794.4729624114575,1613.205609017114
64,1709.7964285714286,1710.9,1789.0668466088227,1630.5260105340344
65,1712.2392857142856,1721.35,1790.6061270005457,1633.8724444280256
66,1715.767857142857,1728.75,1792.1797229868298,1639.3559912988844
67,1716.025,1704.95,1792.2518653428635,1639.7981346571366
68,1715.132142857143,1690.6,1792.298203622644,1637.966082091642
69,1712.7500000000002,1682.9,1791.8033802128411,1633.6966197871593
70,1717.9,1779.3,1804.4358173954965,1631.3641826045036
71,1722.0678571428573,1760.1,1810.8446351801363,1633.2910791055783
72,1729.675,1829.95,1835.5642945122718,1623.7857054877281
73,1727.9071428571428,1773.4,1829.61571489693,1626.1985708173556
74,1728.4964285714286,1788.05,1831.586370364506,1625.4064867783513
75,1734.5107142857144,1781.9,1839.664975902934,1629.3564526684947
76,1746.2500000000002,1799.95,1839.9044056214473,1652.5955943785532
77,1753.8178571428573,1801.35,1846.893017897214,1660.7426963885007
78,1759.7821428571428,1794.4,1851.7046068994166,1667.859678814869
79,1769.6107142857145,1858.95,1872.591632447737,1666.629796123692
80,1786.3571428571431,1963.2,1929.2368548106274,1643.4774309036588
81,1799.6607142857144,1891.2,1944.5581325276737,1654.7632960437552
82,1816.0785714285719,1920.45,1959.8270361121972,1672.3301067449465
83,1831.1857142857148,1894.4,1958.113097695832,1704.2583308755975
84,1840.3178571428577,1907.15,1969.5406498879202,1711.0950643977953
85,1851.017857142858,1909.9,1976.3778103063023,1725.6579039794137
86,1856.2178571428578,1902.75,1983.8325814388454,1728.6031328468703
87,1866.0928571428578,1911.65,1987.338493747242,1744.8472205384737
88,1874.9321428571436,1911.8,1989.5300795222947,1760.3342061919925
89,1883.7178571428578,1904.9,1985.764125737372,1781.6715885483436
90,1892.2571428571434,1919.5,1983.5489308199622,1800.9653548943247
91,1896.6714285714295,1863.15,1973.9251236713474,1819.4177334715116
92,1896.7857142857151,1796.0,1973.3896751048821,1820.1817534665481
93,1895.4392857142864,1840.1,1975.4929040783834,1815.3856673501894
94,1884.2642857142862,1806.75,1967.1986195951436,1801.3299518334288
95,1880.8107142857148,1842.85,1966.4825315579255,1795.138897013504
96,1874.9250000000004,1838.05,1960.1868027020184,1789.6631972979824
97,1873.025,1867.8,1957.6000804360665,1788.4499195639337
98,1869.8464285714288,1862.65,1952.212865577365,1787.4799915654926
99,1866.7250000000001,1866.2,1945.7991594473544,1787.6508405526458
100,1868.2142857142858,1923.6,1950.9134851204196,1785.515086308152
101,1870.3321428571428,1941.3,1959.1176718854313,1781.5466138288543
102,1873.117857142857,1950.8,1969.6200341381611,1776.615680147553
103,1874.4499999999996,1923.55,1973.3277489163613,1775.5722510836379
104,1876.8535714285713,1953.15,1981.8926664528256,1771.814476404317
105,1883.2749999999996,1953.05,1995.4544698754464,1771.0955301245529
106,1889.7249999999997,1886.3,1990.045331170464,1789.4046688295355
107,1891.653571428571,1867.1,1988.8539628830238,1794.4531799741183
108,1896.0642857142852,1868.5,1981.56882836077,1810.5597430678004
109,1896.2821428571426,1845.9,1981.2162676212695,1811.3480180930158
110,1895.975,1833.75,1981.8422208434763,1810.1077791565235
111,1892.992857142857,1826.05,1985.7025019580324,1800.2832123276817
112,1883.2571428571425,1726.35,2011.5071142599968,1755.0071714542883
113,1874.7249999999997,1746.75,2022.3005543129245,1727.1494456870748
114,1867.2535714285711,1819.0,2014.7613467870472,1719.7457960700951
115,1857.467857142857,1804.3,2001.9615653217759,1712.974148963938
116,1846.7392857142854,1800.6,1983.4777062819464,1710.0008651466244
117,1838.3964285714283,1806.75,1969.0649431963511,1707.7279139465054
118,1828.1857142857139,1810.2,1941.4021606893248,1714.969267882103
119,1819.8928571428569,1836.95,1907.916113310597,1731.8696009751168
120,1815.2999999999997,1822.0,1894.6832282228108,1735.9167717771886
121,1810.6892857142855,1802.55,1884.4085367077064,1736.9700347208645
122,1804.060714285714,1775.7,1871.8369431406763,1736.2844854307518
123,1797.4249999999997,1753.0,1865.744315322622,1729.1056846773774
124,1791.0857142857142,1745.0,1861.3286600423487,1720.8427685290796
125,1784.1357142857141,1728.75,1858.6035434632568,1709.6678851081715
126,1786.175,1754.9,1855.1901683438975,1717.1598316561024
127,1783.8214285714287,1713.8,1860.4550495750714,1707.187807567786
128,1779.9107142857142,1764.25,1854.368158802392,1705.4532697690365
129,1778.7,1787.35,1851.9911895219102,1705.40881047809
130,1779.0321428571428,1805.25,1852.7915084386548,1705.272777275631
131,1779.2464285714286,1809.75,1853.3692109539725,1705.1236461888848
132,1776.6571428571428,1773.95,1848.6233192836326,1704.6909664306531
133,1771.4214285714286,1763.65,1834.6240418850286,1708.2188152578285
134,1769.1357142857144,1790.0,1826.5041112219292,1711.7673173494995
135,1767.0428571428572,1773.25,1821.20862630982,1712.8770879758945
136,1766.3785714285716,1766.4,1820.314612101897,1712.4425307552463
137,1766.6142857142859,1756.3,1820.3268458923044,1712.9017255362673
138,1765.332142857143,1727.05,1822.0406228517156,1708.6236628625704
139,1764.107142857143,1711.6,1824.8193245918421,1703.3949611224436
140,1758.4678571428572,1675.95,1835.3715692383346,1681.5641450473797
141,1758.0107142857144,1707.4,1836.1247746626375,1679.8966539087912
142,1751.382142857143,1671.45,1841.9692331849824,1660.7950525293036
143,1743.4500000000003,1676.3,1839.738580679274,1647.1614193207265
144,1736.0928571428574,1702.25,1827.6650384841505,1644.5206758015643
145,1728.8107142857145,1707.8,1810.8715845502306,1646.7498440211984
