,middle_band,price,upper_band,lower_band,call,calls
51,1709.7964285714286,1710.9,1789.0668466088227,1630.5260105340344,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
52,1712.2392857142856,1721.35,1790.6061270005453,1633.8724444280256,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
53,1715.767857142857,1728.75,1792.1797229868298,1639.3559912988846,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
54,1716.025,1704.95,1792.2518653428635,1639.7981346571366,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
55,1715.132142857143,1690.6,1792.298203622644,1637.9660820916422,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
56,1712.7500000000002,1682.9,1791.8033802128411,1633.696619787159,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
57,1717.9,1779.3,1804.4358173954965,1631.3641826045034,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
58,1722.0678571428573,1760.1,1810.8446351801365,1633.2910791055785,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
59,1729.675,1829.95,1835.564294512272,1623.785705487728,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
60,1727.9071428571426,1773.4,1829.6157148969296,1626.1985708173556,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
61,1728.4964285714286,1788.05,1831.586370364506,1625.406486778351,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
62,1734.5107142857144,1781.9,1839.664975902934,1629.356452668495,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
63,1746.2500000000002,1799.95,1839.9044056214475,1652.5955943785532,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
64,1753.8178571428573,1801.35,1846.8930178972141,1660.7426963885007,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
65,1759.7821428571426,1794.4,1851.7046068994168,1667.859678814869,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
66,1769.6107142857145,1858.95,1872.591632447737,1666.629796123692,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
67,1786.3571428571433,1963.2,1929.2368548106274,1643.4774309036588,Short,Short
68,1799.6607142857144,1891.2,1944.5581325276737,1654.7632960437552,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
69,1816.078571428572,1920.45,1959.8270361121968,1672.3301067449465,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
70,1831.1857142857148,1894.4,1958.1130976958318,1704.2583308755975,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
71,1840.3178571428573,1907.15,1969.54064988792,1711.095064397795,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
72,1851.017857142858,1909.9,1976.3778103063025,1725.6579039794135,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
73,1856.2178571428574,1902.75,1983.8325814388445,1728.6031328468705,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
74,1866.0928571428574,1911.65,1987.3384937472424,1744.8472205384735,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
75,1874.9321428571438,1911.8,1989.5300795222947,1760.3342061919925,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
76,1883.7178571428574,1904.9,1985.764125737372,1781.6715885483436,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
77,1892.257142857144,1919.5,1983.5489308199624,1800.9653548943247,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
78,1896.671428571429,1863.15,1973.9251236713474,1819.417733471512,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
79,1896.785714285716,1796.0,1973.389675104882,1820.181753466548,Buy,Buy
80,1895.4392857142866,1840.1,1975.4929040783834,1815.3856673501887,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
81,1884.2642857142864,1806.75,1967.198619595144,1801.3299518334286,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
82,1880.8107142857148,1842.85,1966.482531557925,1795.138897013504,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
83,1874.9250000000006,1838.05,1960.1868027020184,1789.6631972979824,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
